ID,Stay,Age,InfctRsk,Culture,Xray,Beds,MedSchool,Region,Census
1,7.13,55.7,4.1,9,39.6,279,0,4,207
2,8.82,58.2,1.6,3.8,51.7,80,0,2,51
3,8.34,56.9,2.7,8.1,74,107,0,3,82
4,8.95,53.7,5.6,18.9,122.8,147,0,4,53
5,11.2,56.5,5.7,34.5,88.9,180,0,1,134
6,9.76,50.9,5.1,21.9,97,150,0,2,147
7,9.68,57.8,4.6,16.7,79,186,0,3,151
8,11.18,45.7,5.4,60.5,85.8,640,1,2,399
9,8.67,48.2,4.3,24.4,90.8,182,0,3,130
10,8.84,56.3,6.3,29.6,82.6,85,0,1,59
11,11.07,53.2,4.9,28.5,122,768,1,1,591
12,8.3,57.2,4.3,6.8,83.8,167,0,3,105
13,12.78,56.8,7.7,46,116.9,322,1,1,252
14,7.58,56.7,3.7,20.8,88,97,0,2,59
15,9,56.3,4.2,14.6,76.4,72,0,3,61
16,11.08,50.2,5.5,18.6,63.6,387,0,3,326
17,8.28,48.1,4.5,26,101.8,108,0,4,84
18,11.62,53.9,6.4,25.5,99.2,133,0,1,113
19,9.06,52.8,4.2,6.9,75.9,134,0,2,103
20,9.35,53.8,4.1,15.9,80.9,833,0,3,547
21,7.53,42,4.2,23.1,98.9,95,0,4,47
22,10.24,49,4.8,36.3,112.6,195,0,2,163
23,9.78,52.3,5,17.6,95.9,270,1,1,240
24,9.84,62.2,4.8,12,82.3,600,0,3,468
25,9.2,52.2,4,17.5,71.1,298,1,4,244
26,8.28,49.5,3.9,12,113.1,546,1,2,413
27,9.31,47.2,4.5,30.2,101.3,170,0,1,124
28,8.19,52.1,3.2,10.8,59.2,176,0,1,156
29,11.65,54.5,4.4,18.6,96.1,248,0,1,217
30,9.89,50.5,4.9,17.7,103.6,167,0,2,113
31,11.03,49.9,5,19.7,102.1,318,0,1,270
32,9.84,53,5.2,17.7,72.6,210,0,2,200
33,11.77,54.1,5.3,17.3,56,196,0,1,164
34,13.59,54,6.1,24.2,111.7,312,0,1,258
35,9.74,54.4,6.3,11.4,76.1,221,0,2,170
36,10.33,55.8,5,21.2,104.3,266,0,1,181
37,9.97,58.2,2.8,16.5,76.5,90,0,2,69
38,7.84,49.1,4.6,7.1,87.9,60,0,3,50
39,10.47,53.2,4.1,5.7,69.1,196,0,2,168
40,8.16,60.9,1.3,1.9,58,73,0,3,49
41,8.48,51.1,3.7,12.1,92.8,166,0,3,145
42,10.72,53.8,4.7,23.2,94.1,113,0,3,90
43,11.2,45,3,7,78.9,130,0,3,95
44,10.12,51.7,5.6,14.9,79.1,362,1,3,313
45,8.37,50.7,5.5,15.1,84.8,115,0,2,96
46,10.16,54.2,4.6,8.4,51.5,831,1,4,581
47,19.56,59.9,6.5,17.2,113.7,306,0,1,273
48,10.9,57.2,5.5,10.6,71.9,593,0,2,446
49,7.67,51.7,1.8,2.5,40.4,106,0,3,93
50,8.88,51.5,4.2,10.1,86.9,305,0,3,238
51,11.48,57.6,5.6,20.3,82,252,0,1,207
52,9.23,51.6,4.3,11.6,42.6,620,0,2,413
53,11.41,61.1,7.6,16.6,97.9,535,0,3,330
54,12.07,43.7,7.8,52.4,105.3,157,0,2,115
55,8.63,54,3.1,8.4,56.2,76,0,1,39
56,11.15,56.5,3.9,7.7,73.9,281,0,1,217
57,7.14,59,3.7,2.6,75.8,70,0,4,37
58,7.65,47.1,4.3,16.4,65.7,318,0,4,265
59,10.73,50.6,3.9,19.3,101,445,1,2,374
60,11.46,56.9,4.5,15.6,97.7,191,0,3,153
61,10.42,58,3.4,8,59,119,0,1,67
62,11.18,51,5.7,18.8,55.9,595,1,2,546
63,7.93,64.1,5.4,7.5,98.1,68,0,4,42
64,9.66,52.1,4.4,9.9,98.3,83,0,2,66
65,7.78,45.5,5,20.9,71.6,489,0,3,391
66,9.42,50.6,4.3,24.8,62.8,508,0,1,421
67,10.02,49.5,4.4,8.3,93,265,0,2,191
68,8.58,55,3.7,7.4,95.9,304,0,3,248
69,9.61,52.4,4.5,6.9,87.2,487,0,3,404
70,8.03,54.2,3.5,24.3,87.3,97,0,1,65
71,7.39,51,4.2,14.6,88.4,72,0,2,38
72,7.08,52,2,12.3,56.4,87,0,3,52
73,9.53,51.5,5.2,15,65.7,298,0,3,241
74,10.05,52,4.5,36.7,87.5,184,1,1,144
75,8.45,38.8,3.4,12.9,85,235,0,2,143
76,6.7,48.6,4.5,13,80.8,76,0,4,51
77,8.9,49.7,2.9,12.7,86.9,52,0,1,37
78,10.23,53.2,4.9,9.9,77.9,752,1,2,595
79,8.88,55.8,4.4,14.1,76.8,237,0,2,165
80,10.3,59.6,5.1,27.8,88.9,175,0,2,113
81,10.79,44.2,2.9,2.6,56.6,461,1,2,320
82,7.94,49.5,3.5,6.2,92.3,195,0,2,139
83,7.63,52.1,5.5,11.6,61.1,197,0,4,109
84,8.77,54.5,4.7,5.2,47,143,0,4,85
85,8.09,56.9,1.7,7.6,56.9,92,0,3,61
86,9.05,51.2,4.1,20.5,79.8,195,0,3,127
87,7.91,52.8,2.9,11.9,79.5,477,0,3,349
88,10.39,54.6,4.3,14,88.3,353,0,2,223
89,9.36,54.1,4.8,18.3,90.6,165,0,1,127
90,11.41,50.4,5.8,23.8,73,424,1,3,359
91,8.86,51.3,2.9,9.5,87.5,100,0,3,65
92,8.93,56,2,6.2,72.5,95,0,3,59
93,8.92,53.9,1.3,2.2,79.5,56,0,2,40
94,8.15,54.9,5.3,12.3,79.8,99,0,4,55
95,9.77,50.2,5.3,15.7,89.7,154,0,2,123
96,8.54,56.1,2.5,27,82.5,98,0,1,57
97,8.66,52.8,3.8,6.8,69.5,246,0,3,178
98,12.01,52.8,4.8,10.8,96.9,298,0,1,237
99,7.95,51.8,2.3,4.6,54.9,163,0,3,128
100,10.15,51.9,6.2,16.4,59.2,568,1,3,452
101,9.76,53.2,2.6,6.9,80.1,64,0,4,47
102,9.89,45.2,4.3,11.8,108.7,190,0,1,141
103,7.14,57.6,2.7,13.1,92.6,92,0,4,40
104,13.95,65.9,6.6,15.6,133.5,356,0,1,308
105,9.44,52.5,4.5,10.9,58.5,297,0,3,230
106,10.8,63.9,2.9,1.6,57.4,130,0,3,69
107,7.14,51.7,1.4,4.1,45.7,115,0,3,90
108,8.02,55,2.1,3.8,46.5,91,0,2,44
109,11.8,53.8,5.7,9.1,116.9,571,1,2,441
110,9.5,49.3,5.8,42,70.9,98,0,3,68
111,7.7,56.9,4.4,12.2,67.9,129,0,4,85
112,17.94,56.2,5.9,26.4,91.8,835,1,1,791
113,9.41,59.5,3.1,20.6,91.7,29,0,3,20